iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
TGO,Africa,Togo,6/29/2020,642,27,14,0,77.548,3.261,1.691,0,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04
TTO,North America,Trinidad and Tobago,6/29/2020,126,2,8,0,90.033,1.429,5.716,0,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51
TUN,Africa,Tunisia,6/29/2020,1169,1,50,0,98.912,0.085,4.231,0,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7
TUR,Asia,Turkey,6/29/2020,197239,1356,5097,15,2338.643,16.078,60.435,0.178,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69
TCA,North America,Turks and Caicos Islands,6/29/2020,28,12,1,0,723.178,309.933,25.828,0,38718,37.312,,,,,,,,,,,,80.22
UGA,Africa,Uganda,6/29/2020,859,11,0,0,18.78,0.24,0,0,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37
UKR,Europe,Ukraine,6/29/2020,42982,917,1129,19,982.811,20.968,25.815,0.434,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06
ARE,Asia,United Arab Emirates,6/29/2020,47797,437,313,2,4832.666,44.184,31.647,0.202,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97
GBR,Europe,United Kingdom,6/29/2020,311151,901,43550,36,4583.434,13.272,641.517,0.53,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32
USA,North America,United States,6/29/2020,2548996,38673,125804,265,7700.833,116.836,380.069,0.801,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
VIR,North America,United States Virgin Islands,6/29/2020,81,0,6,0,775.691,0,57.459,0,104423,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58
URY,South America,Uruguay,6/29/2020,929,5,27,1,267.436,1.439,7.773,0.288,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91
UZB,Asia,Uzbekistan,6/29/2020,8031,306,22,2,239.952,9.143,0.657,0.06,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72
VAT,Europe,Vatican,6/29/2020,12,0,0,0,14833.127,0,0,0,809,,,,,,,,,,,,,75.12
VEN,South America,Venezuela,6/29/2020,5297,167,44,2,186.278,5.873,1.547,0.07,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06
VNM,Asia,Vietnam,6/29/2020,355,1,0,0,3.647,0.01,0,0,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4
